"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"rare_1_500_AFT"	1.43060226092006	0.513336494047652	3.33341254919543	-0.109382188519341	15.387051506405	0.622718682566994	0.153336494047652	0.469382188519341	42.5934705687923	-130.383941255373	11.1351513035404	236.981673699658	90	500	1	"Constant"
"nc_23_500_AFT"	0.602397209434147	0.361353330999061	0.0708361228236127	0.359190440767732	0.0885518979430194	0.0021628902313286	0.00135333099906104	0.000809559232267554	0.375925277516956	-0.224877564518765	0.00501958780147496	0.00784209401546148	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.518534812028741	0.311643815678671	0.0671147289125463	0.296667726048337	0.0712837310732066	0.014976089630334	0.048356184321329	0.0633322739516631	-13.4322734225914	-17.5922983199064	0.00684270739912292	0.00909234723960574	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.600768419451805	0.347154976981496	0.146733835455136	0.344128647497769	0.148444239434376	0.003026329483727	0.0128450230185042	0.0158713525022312	-3.56806194958449	-4.40870902839754	0.0216958130837208	0.0222875920515004	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.602065858765813	0.361143109774156	0.042302806896716	0.361581937974235	0.0577920011344664	0.000438828200078289	0.00114310977415649	0.00158193797423478	0.317530492821248	0.439427215065217	0.00179083417129661	0.00334241792288049	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.529614499238355	0.31553036576329	0.0390973537291623	0.258955098785123	0.0437285653596446	0.0565752669781673	0.0444696342367097	0.101044901214877	-12.3526761768638	-28.0680281152436	0.00350615143776999	0.012122259489937	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	0.569463115257674	0.344154275072774	0.0597169608806603	0.350925428004448	0.0665655574803115	0.0067711529316748	0.0158457249272263	0.00907457199555151	-4.40159025756286	-2.52071444320875	0.00381720241529163	0.0045133212995671	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.603098788139689	0.361015755292934	0.0449546814486124	0.361061461653062	0.0601684351801939	4.57063601277397e-05	0.00101575529293435	0.00106146165306209	0.28215424803732	0.294850459183914	0.00202195514296134	0.00362136729287411	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.519801101208168	0.311844205913579	0.041684117775157	0.278212359690671	0.0464186137324171	0.033631846222908	0.0481557940864211	0.0817876403093292	-13.3766094684503	-22.7187889748137	0.00405654617878695	0.00884390580820755	40	1000	1	"Constant"
"rare_1_1000_AFT"	0.771439699321733	0.36054286200081	0.736657717142491	0.451142185913887	7.03385300244271	0.0905993239130771	0.000542862000809663	0.0911421859138867	0.150795000224906	25.3172738649685	0.542664886924738	49.4833949580255	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.604648182215942	0.360824723556891	0.0502119175531646	0.360542189212594	0.0645723065658686	0.000282534344297702	0.000824723556891449	0.000542189212593747	0.229089876914291	0.150608114609374	0.00252191683331109	0.00416987674437877	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.516100531242275	0.313803679102633	0.0507779242074612	0.298170682901499	0.0545244130264477	0.0156329962011331	0.0461963208973675	0.0618293170985005	-12.8323113603799	-17.174810305139	0.00471249765127122	0.00679577606874559	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.617374180138652	0.357140585576284	0.104127929442743	0.356023847340804	0.105898934195453	0.00111673823547975	0.00285941442371646	0.00397615265919621	-0.794281784365682	-1.10448684977672	0.0108508019408794	0.0112303940537022	90	1000	0.666666666666667	"Decreasing"
