"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nonrare_1.5_500_AFT"	0.565956022774718	0.296935072537195	0.114706110839628	0.0576251298644799	0.0379041910483124	0.239309942672715	0.0630649274628048	0.30237487013552	-17.5180354063347	-83.9930194820889	0.0171346769398419	0.0928672897884996	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	0.486946302021893	0.229936131833615	0.775435573582023	0.0200932790763264	0.612451707369815	0.209842852757288	0.130063868166385	0.339906720923674	-36.1288522684403	-94.4185335899093	0.618216938578884	0.490633672789286	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.600312459497098	0.367201957757114	0.128350919038856	0.0874607695535303	0.0374962498361854	0.279741188203584	0.00720195775711424	0.27253923044647	2.00054382142062	-75.705341790686	0.0165258266136541	0.0756836008841315	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.544740099341624	0.287430647082442	0.122799794731271	0.0630665174216727	0.0359299409277591	0.22436412966077	0.0725693529175576	0.296933482578327	-20.1581535882104	-82.4815229384242	0.0203461005689152	0.089460453731166	40	500	1	"Constant"
"rare_1_500_AFT"	0.505408860032413	0.543585991248056	4.30812475435163	0.209812320510316	5.76852463418572	0.33377367073774	0.183585991248056	0.150187679489684	50.9961086800157	-41.7187998582455	18.5936427152398	33.298432794278	90	500	1	"Constant"
"nc_23_500_AFT"	0.6004686892663	0.369486065138545	0.145482103615464	0.0890805321491345	0.0419673269496239	0.28040553298941	0.00948606513854489	0.270919467850865	2.63501809404025	-75.2554077363515	0.0212550279041932	0.0751586145918928	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.535675472004437	0.286020389438015	0.140816583186682	0.0693035800296122	0.0384289394378554	0.216716809408402	0.0739796105619854	0.290696419970388	-20.5498918227737	-80.7490055473299	0.0253022928792748	0.0859811919699184	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.496458762935856	0.298953703140376	0.323873116569899	0.0696652628580163	0.074341112160565	0.229288440282359	0.0610462968596245	0.290334737141984	-16.957304683229	-80.6485380949955	0.108620445996973	0.0898208605485744	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.597066691806969	0.358164245197254	0.0880634342887502	0.0830554801662016	0.0251706830296738	0.275108765031053	0.00183575480274573	0.276944519833798	-0.509931889651591	-76.9290332871662	0.00775853845442482	0.0773318303501535	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.558219968337405	0.294810050197791	0.0830446748487806	0.058530853750963	0.0266435620441411	0.236279196446828	0.0651899498022093	0.301469146249037	-18.1083193895026	-83.7414295136214	0.0111461475759543	0.0915935255385233	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	0.448347093916118	0.243350093396533	0.163678363144698	0.053314110852495	0.0376098808328391	0.190035982544038	0.116649906603467	0.306685889147505	-32.4027518342965	-85.1905247631958	0.0403978072723254	0.0954707377384561	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.59560003771381	0.3587421934211	0.0929607542418876	0.085235272095114	0.0271865532822887	0.273506921325986	0.00125780657890018	0.274764727904886	-0.349390716361161	-76.323535529135	0.00864328390661054	0.0762347643800168	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.547691665399631	0.272685083214254	0.0830753075499351	0.0612720595009679	0.0240038081538497	0.211413023713287	0.0873149167857455	0.298727940499032	-24.254143551596	-82.9799834719534	0.014525401417818	0.0898145652406801	40	1000	1	"Constant"
"rare_1_1000_AFT"	0.658616739323694	0.373443893807974	1.25824702136349	-0.471460048085813	9.44447659094379	0.844903941893786	0.0134438938079738	0.831460048085813	3.73441494665938	-230.961124468281	1.58336630505081	89.8894638884482	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.59340005656446	0.359609115757002	0.103164211455561	0.0865587184164544	0.0299187134010331	0.273050397340548	0.000390884242997491	0.273441281583546	-0.108578956388192	-75.9559115509849	0.0106430073157392	0.075665263885625	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.535110531426069	0.286441981316966	0.099594240164878	0.0697062917602711	0.0275197398692956	0.216735689556695	0.0735580186830343	0.290293708239729	-20.4327829675095	-80.6371411777025	0.015329794786593	0.0850277731260466	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.536077320387897	0.322946084360721	0.229629142789695	0.0770689248662242	0.0542232047609537	0.245877159494497	0.037053915639279	0.282931075133776	-10.2927543442442	-78.5919653149377	0.0541025358825328	0.0829901492109026	90	1000	0.666666666666667	"Decreasing"
