"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nonrare_23_500_COX"	0.403302452841536	0.240394456935987	0.0718541665647075	0.196820016161309	0.0661916231020386	0.0435744407746777	0.119605543064013	0.163179983838691	-33.223761962226	-45.3277732885253	0.0194685071843463	0.0310090380944778	40	500	0.666666666666667	"Decreasing"
"rare_23_500_COX"	0.419432579099721	0.24466701439409	0.0947066730887069	0.234609027957817	0.0906900185429365	0.0100579864362727	0.11533298560591	0.125390972042183	-32.0369404460862	-34.8308255672731	0.0222710514963043	0.0239475753330017	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_COX"	0.906081707631959	0.54126629065578	0.0595377527236626	0.073913229877346	0.0562682572957619	0.467353060778434	0.18126629065578	0.286086770122654	50.3517474043834	-79.4685472562928	0.0364022121274898	0.0850117568183143	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_COX"	0.958444686526183	0.562388930299634	0.186791303004359	0.14417370361146	0.201197669268121	0.418215226688174	0.202388930299634	0.21582629638854	56.2191473054538	-59.9517489968168	0.0758522699858963	0.0870614923317181	40	1000	1.5	"Increasing"
"rare_1.5_1000_COX"	0.849996780085315	0.539532680177885	0.0832039244626126	0.458739330292382	0.0957541594233481	0.0807933498855031	0.179532680177885	0.0987393302923822	49.8701889383015	27.4275917478839	0.039154876297835	0.0189183143934601	90	1000	1.5	"Increasing"
"nc_1_1000_COX"	0.604848719510573	0.360801776030484	0.0420905599769188	0.163737657409813	0.041933779171012	0.19706411862067	0.000801776030483647	0.196262342590187	0.222715564023235	-54.517317386163	0.00177225808397366	0.0402773489545511	0	1000	1	"Constant"
"nonrare_1_1000_COX"	0.599926671735027	0.363562329453952	0.087646617201239	0.228681463391805	0.0878065467616138	0.134880866062148	0.00356232945395235	0.131318536608195	0.989535959431209	-36.4773712800542	0.00769461969795903	0.0249545477111174	40	1000	1	"Constant"
"rare_1_1000_COX"	0.586467441640741	0.355168136478245	0.0718740372625498	0.3346536998781	0.0765726649343056	0.0205144366001451	0.00483186352175519	0.0253463001219003	-1.34218431159866	-7.04063892275007	0.00518922413751127	0.00650580794501088	90	1000	1	"Constant"
"nc_23_1000_COX"	0.404126175950482	0.240422202140851	0.0314501809028045	0.164684972037834	0.0317345239640915	0.0757372301030169	0.119577797859149	0.195315027962166	-33.2160549608748	-54.254174433935	0.0152879636196627	0.0391550401590892	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_COX"	0.394828466139361	0.239982872978267	0.0475942894817046	0.197775128097233	0.0416097395682756	0.0422077448810341	0.120017127021733	0.162224871902767	-33.3380908393704	-45.0624644174354	0.0166693271698192	0.028048279490809	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_COX"	0.385023298613454	0.246142807906687	0.0759861445654428	0.239764723065811	0.0774035846782239	0.00637808484087574	0.113857192093313	0.120235276934189	-31.626997803698	-33.3986880372746	0.0187373543572939	0.02044783674048	90	1000	0.666666666666667	"Decreasing"
